model,lookback,params,best_epoch,best_val_loss,rmse_val,mae_val,mape_val,mbe_val,abs_mbe_val,rmse_val_orig,mae_val_orig,mape_val_orig,mbe_val_orig,abs_mbe_val_orig,rank_rmse_val,rank_abs_mbe_val
lstm,8,"{'hidden_size': 8, 'num_layers': 2, 'dropout': 0.0, 'batch_size': 16, 'learning_rate': 0.001, 'weight_decay': 0.0}",63,2.8503345674835145e-05,0.007542201492741408,0.0068209710589282714,0.6651232333817076,-0.0068209710589282714,0.0068209710589282714,16165.063819098878,14228.122572762188,7.291539543061696,-14228.122572762188,14228.122572762188,16165.063819098878,14228.122572762188
lstm,8,"{'hidden_size': 16, 'num_layers': 2, 'dropout': 0.1, 'batch_size': 16, 'learning_rate': 0.0005, 'weight_decay': 0.0}",51,3.1909887184156105e-05,0.008099328608931394,0.007591119693838855,0.7426453458817031,-0.007591119693838855,0.007591119693838855,16237.85873916079,15259.799204077925,8.10105569328971,-15259.799204077925,15259.799204077925,16237.85873916079,15259.799204077925
lstm,12,"{'hidden_size': 24, 'num_layers': 2, 'dropout': 0.1, 'batch_size': 16, 'learning_rate': 0.0005, 'weight_decay': 0.0}",42,5.002375110052526e-05,0.009192614511030693,0.008361369656645556,0.8197753853025397,-0.008361369656645556,0.008361369656645556,17401.23927164317,16288.415714322316,8.85291210086535,-16288.415714322316,16288.415714322316,17401.23927164317,16288.415714322316
lstm,6,"{'hidden_size': 8, 'num_layers': 2, 'dropout': 0.0, 'batch_size': 16, 'learning_rate': 0.0005, 'weight_decay': 0.0}",62,2.727677383518312e-05,0.008739840617889277,0.008278620528303882,0.8085517844891625,-0.008278620528303882,0.008278620528303882,18073.970082421925,16883.067738510355,8.806404348304378,-16883.067738510355,16883.067738510355,18073.970082421925,16883.067738510355
lstm,12,"{'hidden_size': 24, 'num_layers': 1, 'dropout': 0.0, 'batch_size': 16, 'learning_rate': 0.001, 'weight_decay': 0.0}",9,5.61219421797432e-05,0.00973388581981865,0.008488413293292862,0.8343142766001596,0.008317690802491406,0.008317690802491406,20377.821342742922,17985.334959718435,10.12277227105102,17557.06886431094,17557.06886431094,20377.821342742922,17557.06886431094
lstm,6,"{'hidden_size': 24, 'num_layers': 2, 'dropout': 0.0, 'batch_size': 16, 'learning_rate': 0.0005, 'weight_decay': 0.0}",45,3.212352385162376e-05,0.010857523869018403,0.010528555797659656,1.028788152896189,-0.010528555797659656,0.010528555797659656,21991.59116828459,21121.197415554496,11.07932497955598,-21121.197415554496,21121.197415554496,21991.59116828459,21121.197415554496
lstm,6,"{'hidden_size': 16, 'num_layers': 1, 'dropout': 0.0, 'batch_size': 16, 'learning_rate': 0.0005, 'weight_decay': 0.0}",81,3.593281144276261e-05,0.011393899371820808,0.010820681141936083,1.0552718052474086,-0.010820681141936083,0.010820681141936083,23836.481803817776,22063.580469038054,11.338110005716404,-22063.580469038054,22063.580469038054,23836.481803817776,22063.580469038054
lstm,12,"{'hidden_size': 8, 'num_layers': 2, 'dropout': 0.0, 'batch_size': 16, 'learning_rate': 0.001, 'weight_decay': 0.0}",73,8.534163498552516e-05,0.014328337202640255,0.013900417374693653,1.3567313091181246,-0.013900417374693653,0.013900417374693653,29158.42126804261,27671.79813318501,14.346406525120964,-27671.79813318501,27671.79813318501,29158.42126804261,27671.79813318501
lstm,8,"{'hidden_size': 8, 'num_layers': 1, 'dropout': 0.0, 'batch_size': 16, 'learning_rate': 0.001, 'weight_decay': 0.0}",49,9.026065526995808e-05,0.015663066084913413,0.014849174307905933,1.4473224751211045,-0.014849174307905933,0.014849174307905933,32183.276097774884,29696.88897048875,15.184467663733352,-29696.88897048875,29696.88897048875,32183.276097774884,29696.88897048875
lstm,6,"{'hidden_size': 16, 'num_layers': 2, 'dropout': 0.0, 'batch_size': 32, 'learning_rate': 0.0005, 'weight_decay': 0.0}",73,4.695205279858783e-05,0.01271228861623967,0.0106100016417628,1.0314729523030222,0.008298265648759106,0.008298265648759106,32911.58104983271,26114.873332749317,12.897431295498995,21916.75441110962,21916.75441110962,32911.58104983271,21916.75441110962
lstm,12,"{'hidden_size': 8, 'num_layers': 2, 'dropout': 0.0, 'batch_size': 32, 'learning_rate': 0.001, 'weight_decay': 0.0}",177,0.000131446126033552,0.01856567322830456,0.018186652945601244,1.7753607199798787,-0.018186652945601244,0.018186652945601244,36793.64745139778,35316.29493935535,18.350055208521905,-35316.29493935535,35316.29493935535,36793.64745139778,35316.29493935535
lstm,6,"{'hidden_size': 16, 'num_layers': 2, 'dropout': 0.0, 'batch_size': 16, 'learning_rate': 0.001, 'weight_decay': 0.0}",35,0.0001074802567018196,0.019408425936833916,0.018543684767805834,1.8076828225882566,-0.018543684767805834,0.018543684767805834,38886.81799735616,36257.97196232219,18.580130912977534,-36257.97196232219,36257.97196232219,38886.81799735616,36257.97196232219
lstm,6,"{'hidden_size': 24, 'num_layers': 1, 'dropout': 0.0, 'batch_size': 16, 'learning_rate': 0.001, 'weight_decay': 0.0}",28,4.701423677033745e-05,0.020728813674047275,0.020163613843046924,1.9670048218620124,-0.020163613843046924,0.020163613843046924,40849.482492065115,38912.02472506196,20.090570981822335,-38912.02472506196,38912.02472506196,40849.482492065115,38912.02472506196
lstm,6,"{'hidden_size': 24, 'num_layers': 1, 'dropout': 0.1, 'batch_size': 16, 'learning_rate': 0.001, 'weight_decay': 0.0}",31,5.9757381677627563e-05,0.022034883999120236,0.021382886456572315,2.085650065642994,-0.021382886456572315,0.021382886456572315,43178.63332964207,41013.28793408385,21.14849130998728,-41013.28793408385,41013.28793408385,43178.63332964207,41013.28793408385
lstm,8,"{'hidden_size': 8, 'num_layers': 2, 'dropout': 0.1, 'batch_size': 32, 'learning_rate': 0.001, 'weight_decay': 0.0}",59,0.0002899350365623832,0.026850001543970124,0.025748285936438343,2.5100835228004112,-0.025748285936438343,0.025748285936438343,51402.69688641016,48264.736807501475,24.771630530237772,-48264.736807501475,48264.736807501475,51402.69688641016,48264.736807501475
lstm,8,"{'hidden_size': 16, 'num_layers': 2, 'dropout': 0.1, 'batch_size': 16, 'learning_rate': 0.001, 'weight_decay': 0.0}",73,0.00029837695183232427,0.02690411549682711,0.025889730738722583,2.5242475808205542,-0.025889730738722583,0.025889730738722583,51442.949608087656,48465.98480061457,24.911536334369835,-48465.98480061457,48465.98480061457,51442.949608087656,48465.98480061457
lstm,6,"{'hidden_size': 8, 'num_layers': 2, 'dropout': 0.1, 'batch_size': 32, 'learning_rate': 0.001, 'weight_decay': 0.0}",76,0.00026492730830796063,0.02794644377057909,0.02663465766819646,2.5958479439828857,-0.02663465766819646,0.02663465766819646,53214.463291568994,49700.72776872134,25.45017494360068,-49700.72776872134,49700.72776872134,53214.463291568994,49700.72776872134
lstm,8,"{'hidden_size': 8, 'num_layers': 2, 'dropout': 0.0, 'batch_size': 16, 'learning_rate': 0.0005, 'weight_decay': 0.0}",91,0.0003526080399751663,0.03105826542695277,0.029990604805075427,2.924437689493415,-0.029990604805075427,0.029990604805075427,57887.03760587072,54821.05897839616,28.22851681948455,-54821.05897839616,54821.05897839616,57887.03760587072,54821.05897839616
lstm,6,"{'hidden_size': 8, 'num_layers': 2, 'dropout': 0.1, 'batch_size': 32, 'learning_rate': 0.0005, 'weight_decay': 0.0}",154,0.0004904872039332986,0.034727036551230515,0.033236387657248276,3.239708378083994,-0.033236387657248276,0.033236387657248276,63442.596797150545,59676.41796803676,30.63097754192124,-59676.41796803676,59676.41796803676,63442.596797150545,59676.41796803676
lstm,6,"{'hidden_size': 16, 'num_layers': 2, 'dropout': 0.0, 'batch_size': 16, 'learning_rate': 0.0005, 'weight_decay': 0.0}",76,0.0005782741936855018,0.04619557136379276,0.04436320691021611,4.324897488218683,-0.04436320691021611,0.04436320691021611,78927.4291948562,74797.73488940016,38.504349451434436,-74797.73488940016,74797.73488940016,78927.4291948562,74797.73488940016
lstm,8,"{'hidden_size': 8, 'num_layers': 2, 'dropout': 0.1, 'batch_size': 16, 'learning_rate': 0.0005, 'weight_decay': 0.0}",118,0.0009501106105744839,0.04673553177198585,0.045298439549528856,4.417761036672664,-0.045298439549528856,0.045298439549528856,79552.09396564127,76018.83562329714,39.27552059838365,-76018.83562329714,76018.83562329714,79552.09396564127,76018.83562329714
lstm,12,"{'hidden_size': 8, 'num_layers': 1, 'dropout': 0.0, 'batch_size': 32, 'learning_rate': 0.0005, 'weight_decay': 0.0}",180,0.0008791428990662098,0.059507081175450345,0.057724291371428274,5.6298153713350745,-0.057724291371428274,0.057724291371428274,94426.80383650941,90619.71644338971,46.90729434032911,-90619.71644338971,90619.71644338971,94426.80383650941,90619.71644338971
lstm,6,"{'hidden_size': 8, 'num_layers': 2, 'dropout': 0.1, 'batch_size': 16, 'learning_rate': 0.0005, 'weight_decay': 0.0}",154,0.001708964235149324,0.061070951235734736,0.05930255679997136,5.783990540636717,-0.05930255679997136,0.05930255679997136,96091.57502541087,92337.2947553958,47.812315299644816,-92337.2947553958,92337.2947553958,96091.57502541087,92337.2947553958
lstm,6,"{'hidden_size': 8, 'num_layers': 2, 'dropout': 0.0, 'batch_size': 32, 'learning_rate': 0.0005, 'weight_decay': 0.0}",167,0.0014174873940646648,0.06328848873983216,0.06117241411122014,5.96523788164904,-0.06117241411122014,0.06117241411122014,98385.15838509644,94239.6471560829,48.732397333227354,-94239.6471560829,94239.6471560829,98385.15838509644,94239.6471560829
