model,lookback,feature_selection,selected_features,n_selected_features,params,rmse_val,mae_val,mape_val,mbe_val,abs_mbe_val,rmse_val_orig,mae_val_orig,mape_val_orig,mbe_val_orig,abs_mbe_val_orig,rank_rmse_val,rank_abs_mbe_val
random_forest,12,importance,"lag_2, lag_1, lag_3, lag_6, lag_7, lag_10",6,"{'n_estimators': 400, 'max_depth': None, 'min_samples_leaf': 1, 'random_state': 42, 'n_jobs': 1}",0.32197587752088463,0.29831569447559286,2.447007886887959,-0.29831569447559286,0.29831569447559286,54655.331111008614,49785.980689286276,25.241218636523694,-49785.980689286276,49785.980689286276,54655.331111008614,49785.980689286276
random_forest,6,importance,"lag_1, lag_2, lag_5, lag_6, lag_4, lag_3",6,"{'n_estimators': 200, 'max_depth': 8, 'min_samples_leaf': 1, 'random_state': 42, 'n_jobs': 1}",0.3222913678431331,0.29865617966368835,2.449812194899167,-0.29865617966368835,0.29865617966368835,54698.53193663122,49833.40295788222,25.266668744047998,-49833.40295788222,49833.40295788222,54698.53193663122,49833.40295788222
random_forest,6,importance,"lag_1, lag_2, lag_5, lag_6, lag_4, lag_3",6,"{'n_estimators': 200, 'max_depth': None, 'min_samples_leaf': 1, 'random_state': 42, 'n_jobs': 1}",0.3222913678431331,0.29865617966368835,2.449812194899167,-0.29865617966368835,0.29865617966368835,54698.53193663122,49833.40295788222,25.266668744047998,-49833.40295788222,49833.40295788222,54698.53193663122,49833.40295788222
random_forest,8,importance,"lag_3, lag_1, lag_2, lag_6, lag_5, lag_8",6,"{'n_estimators': 200, 'max_depth': 8, 'min_samples_leaf': 1, 'random_state': 42, 'n_jobs': 1}",0.32259014252265933,0.29897857434589054,2.4524675056782574,-0.29897857434589054,0.29897857434589054,54739.43031838324,49878.290727741805,25.290758662208308,-49878.290727741805,49878.290727741805,54739.43031838324,49878.290727741805
random_forest,8,importance,"lag_3, lag_1, lag_2, lag_6, lag_5, lag_8",6,"{'n_estimators': 200, 'max_depth': None, 'min_samples_leaf': 1, 'random_state': 42, 'n_jobs': 1}",0.32259014252265933,0.29897857434589054,2.4524675056782574,-0.29897857434589054,0.29897857434589054,54739.43031838324,49878.290727741805,25.290758662208308,-49878.290727741805,49878.290727741805,54739.43031838324,49878.290727741805
random_forest,6,importance,"lag_1, lag_2, lag_5, lag_6, lag_4, lag_3",6,"{'n_estimators': 200, 'max_depth': 8, 'min_samples_leaf': 2, 'random_state': 42, 'n_jobs': 1}",0.3893603912458296,0.3700341904962527,3.037696586350936,-0.3700341904962527,0.3700341904962527,63561.72081026344,59426.6859811472,30.415095668399093,-59426.6859811472,59426.6859811472,63561.72081026344,59426.6859811472
random_forest,6,importance,"lag_1, lag_2, lag_5, lag_6, lag_4, lag_3",6,"{'n_estimators': 200, 'max_depth': None, 'min_samples_leaf': 2, 'random_state': 42, 'n_jobs': 1}",0.3893603912458296,0.3700341904962527,3.037696586350936,-0.3700341904962527,0.3700341904962527,63561.72081026344,59426.6859811472,30.415095668399093,-59426.6859811472,59426.6859811472,63561.72081026344,59426.6859811472
random_forest,6,importance,"lag_1, lag_2, lag_5, lag_6, lag_4, lag_3",6,"{'n_estimators': 400, 'max_depth': 8, 'min_samples_leaf': 2, 'random_state': 42, 'n_jobs': 1}",0.3899668349581314,0.37067225446797875,3.0429518161528066,-0.37067225446797875,0.37067225446797875,63639.05305634847,59509.391933112,30.459481469262784,-59509.391933112,59509.391933112,63639.05305634847,59509.391933112
random_forest,6,importance,"lag_1, lag_2, lag_5, lag_6, lag_4, lag_3",6,"{'n_estimators': 400, 'max_depth': None, 'min_samples_leaf': 2, 'random_state': 42, 'n_jobs': 1}",0.3899668349581314,0.37067225446797875,3.0429518161528066,-0.37067225446797875,0.37067225446797875,63639.05305634847,59509.391933112,30.459481469262784,-59509.391933112,59509.391933112,63639.05305634847,59509.391933112
random_forest,8,importance,"lag_3, lag_1, lag_2, lag_6, lag_5, lag_8",6,"{'n_estimators': 200, 'max_depth': 8, 'min_samples_leaf': 2, 'random_state': 42, 'n_jobs': 1}",0.39048067759732913,0.3712128061395254,3.047403914029573,-0.3712128061395254,0.3712128061395254,63704.538937768746,59579.417046608425,30.497061844910146,-59579.417046608425,59579.417046608425,63704.538937768746,59579.417046608425
random_forest,8,importance,"lag_3, lag_1, lag_2, lag_6, lag_5, lag_8",6,"{'n_estimators': 200, 'max_depth': None, 'min_samples_leaf': 2, 'random_state': 42, 'n_jobs': 1}",0.39048067759732913,0.3712128061395254,3.047403914029573,-0.3712128061395254,0.3712128061395254,63704.538937768746,59579.417046608425,30.497061844910146,-59579.417046608425,59579.417046608425,63704.538937768746,59579.417046608425
