model,lookback,feature_selection,selected_features,n_selected_features,params,rmse_val,mae_val,mape_val,mbe_val,abs_mbe_val,rmse_val_orig,mae_val_orig,mape_val_orig,mbe_val_orig,abs_mbe_val_orig,cv_rmse_train,rank_rmse_val_single,rank_rmse_val,rank_abs_mbe_val
decision_tree,3,importance,"lag_1, lag_2, lag_3",3,"{'max_depth': None, 'min_samples_leaf': 1, 'random_state': 42}",0.03465063675346537,0.032796780997996766,121.53909143150454,-0.032796780997996766,0.032796780997996766,54500.178439695126,47878.97469167355,18.737741183270316,-47878.97469167355,47878.97469167355,0.19263955861726587,54500.178439695126,0.19263955861726587,47878.97469167355
decision_tree,4,importance,"lag_1, lag_2, lag_3",3,"{'max_depth': None, 'min_samples_leaf': 1, 'random_state': 42}",0.03197662918589774,0.027931122570479843,185.9851071024001,-0.01395803384477127,0.01395803384477127,25361.79549670055,23774.042706519118,9.571503389533548,-23774.042706519118,23774.042706519118,0.19648097647087334,25361.79549670055,0.19648097647087334,23774.042706519118
gradient_boosting,3,importance,"lag_1, lag_2, lag_3",3,"{'n_estimators': 200, 'learning_rate': 0.1, 'max_depth': 2, 'random_state': 42}",0.010654947596083743,0.008822775060651393,72.86660256704089,0.0002524132211425894,0.0002524132211425894,3512.0313482966776,2568.021969875112,1.1069089657772095,-2383.9242864550565,2383.9242864550565,0.09389247875029788,3512.0313482966776,0.09389247875029788,2383.9242864550565
gradient_boosting,4,importance,"lag_1, lag_2, lag_3",3,"{'n_estimators': 200, 'learning_rate': 0.05, 'max_depth': 2, 'random_state': 42}",0.011080937288137641,0.008911882239266705,79.04425757594414,0.001810164218095566,0.001810164218095566,5187.20926409355,4712.660593918498,1.9017866016151903,3435.4164130004283,3435.4164130004283,0.0939507293047266,5187.20926409355,0.0939507293047266,3435.4164130004283
gradient_boosting,3,importance,"lag_1, lag_2, lag_3",3,"{'n_estimators': 200, 'learning_rate': 0.05, 'max_depth': 2, 'random_state': 42}",0.011185671401957396,0.009053469376683934,81.32554785138076,0.0022079513791511043,0.0022079513791511043,5603.280893558334,5082.281524583872,2.037317084647273,3699.1970405541892,3699.1970405541892,0.1005907052596392,5603.280893558334,0.1005907052596392,3699.1970405541892
gradient_boosting,4,importance,"lag_1, lag_2, lag_3",3,"{'n_estimators': 200, 'learning_rate': 0.1, 'max_depth': 3, 'random_state': 42}",0.019649791010039625,0.014172699927192634,101.52103690488323,-0.0011539992681725484,0.0011539992681725484,12177.777214588272,11643.049364326924,4.852014354233001,-11643.049364326924,11643.049364326924,0.10258246200343017,12177.777214588272,0.10258246200343017,11643.049364326924
gradient_boosting,3,importance,"lag_1, lag_2, lag_3",3,"{'n_estimators': 200, 'learning_rate': 0.05, 'max_depth': 3, 'random_state': 42}",0.015791685923538874,0.012967858990234712,104.50371925733532,-0.0006658970737360098,0.0006658970737360098,6630.321504159306,5934.913072078048,2.502053274763137,-5934.913072078048,5934.913072078048,0.1034441073756771,6630.321504159306,0.1034441073756771,5934.913072078048
gradient_boosting,4,importance,"lag_1, lag_2, lag_3",3,"{'n_estimators': 200, 'learning_rate': 0.05, 'max_depth': 3, 'random_state': 42}",0.014317992364635487,0.011732509062840846,81.07804819962764,-0.0014561816385275713,0.0014561816385275713,7485.860253594252,7041.216917595506,2.9501949759082993,-7041.216917595506,7041.216917595506,0.10668622451926346,7485.860253594252,0.10668622451926346,7041.216917595506
gradient_boosting,4,importance,"lag_1, lag_2, lag_3",3,"{'n_estimators': 200, 'learning_rate': 0.1, 'max_depth': 2, 'random_state': 42}",0.010975984954584916,0.00990674383648608,69.87868057480794,-0.001502374020841893,0.001502374020841893,5668.447878969279,5337.664988439203,2.1802892846295134,-5337.664988439203,5337.664988439203,0.10705553838754835,5668.447878969279,0.10705553838754835,5337.664988439203
gradient_boosting,3,importance,"lag_1, lag_2, lag_3",3,"{'n_estimators': 200, 'learning_rate': 0.1, 'max_depth': 3, 'random_state': 42}",0.021187042702362217,0.01609541797316091,115.63833895503981,-0.00465934391009142,0.00465934391009142,15673.05429560226,15208.07168983815,6.200636912233442,-15208.07168983815,15208.07168983815,0.10809799093349833,15673.05429560226,0.10809799093349833,15208.07168983815
gradient_boosting,2,importance,"lag_1, lag_2",2,"{'n_estimators': 200, 'learning_rate': 0.1, 'max_depth': 3, 'random_state': 42}",0.022575189983851326,0.017138946894838063,77.94675277650354,-0.009041594071253751,0.009041594071253751,22258.476777480806,21814.605784831863,8.875999821998626,-21814.605784831863,21814.605784831863,0.13992074879120345,22258.476777480806,0.13992074879120345,21814.605784831863
gradient_boosting,2,importance,"lag_1, lag_2",2,"{'n_estimators': 200, 'learning_rate': 0.05, 'max_depth': 2, 'random_state': 42}",0.01897329883793399,0.016131980276401624,120.33790688687127,0.004998317180431449,0.004998317180431449,9796.832828371771,8844.596623239593,3.5534515945663,3207.795654251866,3207.795654251866,0.14028374945734,9796.832828371771,0.14028374945734,3207.795654251866
