order,seasonal_order,rmse_val,mae_val,mape_val,mbe_val,abs_mbe_val,rmse_val_orig,mae_val_orig,mape_val_orig,mbe_val_orig,abs_mbe_val_orig,aic,aicc,k_params,rank_rmse_val,rank_abs_mbe_val
"(0, 1, 2)","(0, 0, 0, 0)",0.042380647311056695,0.031039775403336998,100.71942168122541,0.0018887681682818352,0.0018887681682818352,47244.20024353979,40267.144150574066,20.062893897375407,40267.144150574066,40267.144150574066,-137.93067396286625,-137.6516041954244,3,47244.20024353979,40267.144150574066
"(0, 1, 1)","(0, 0, 0, 0)",0.04045861903566694,0.029179220824193927,92.98403198002475,-0.0009529383585239409,0.0009529383585239409,47989.69498495664,39212.227796481704,19.23501595760096,-38729.55683036473,38729.55683036473,-120.62823994023138,-120.49030890574862,2,47989.69498495664,38729.55683036473
"(3, 1, 3)","(0, 0, 0, 0)",0.04074722321584959,0.030436213966117977,99.07646569262224,0.002015101477913733,0.002015101477913733,48237.313952104996,40570.000386593965,20.13417154474669,40505.40407002795,40505.40407002795,-147.01622542367025,-145.65037176513366,7,48237.313952104996,40505.40407002795
"(0, 1, 4)","(0, 0, 0, 0)",0.04208375266590034,0.030842320300315546,96.69145001921893,-0.0003999214528752168,0.0003999214528752168,50418.28861971151,45353.41265602285,23.37218937287925,45353.41265602285,45353.41265602285,-141.40394100529562,-140.6896552910099,5,50418.28861971151,45353.41265602285
"(0, 1, 3)","(0, 0, 0, 0)",0.04177214752118026,0.030696839294907213,96.30103395723899,-0.0001603275874745839,0.0001603275874745839,54038.64520387853,49053.93435478506,25.19588110985608,49053.93435478506,49053.93435478506,-144.05111028203765,-143.58052204674354,4,54038.64520387853,49053.93435478506
"(2, 0, 0)","(0, 0, 0, 0)",0.040933125029452795,0.03035743770728234,102.61338583970311,0.003080454222764399,0.003080454222764399,57743.60990822668,45416.24136387532,22.18381266530434,45379.88615965721,45379.88615965721,-137.74187521151623,-137.46280544407438,3,57743.60990822668,45379.88615965721
"(2, 1, 4)","(0, 0, 0, 0)",0.041267757417443075,0.031070650919197352,103.26947310214184,0.002799555695761478,0.002799555695761478,68055.08338009726,54948.745075913685,26.95816057934057,54840.865171734964,54840.865171734964,-142.77275563552035,-141.40690197698376,7,68055.08338009726,54840.865171734964
"(3, 0, 0)","(0, 0, 0, 0)",0.0420662261664466,0.03168958099904793,107.08419828702324,0.003424335694703782,0.003424335694703782,79739.66849587856,63050.88465858175,30.78343466401118,63050.88465858175,63050.88465858175,-150.8511182069448,-150.38052997165067,4,79739.66849587856,63050.88465858175
"(4, 0, 0)","(0, 0, 0, 0)",0.04186596376479525,0.03161021970729192,107.05598731011223,0.003437254561296228,0.003437254561296228,80737.16336054348,63857.25449320668,31.177337914408156,63857.25449320668,63857.25449320668,-146.83533908830586,-146.12105337402014,5,80737.16336054348,63857.25449320668
"(3, 1, 4)","(0, 0, 0, 0)",0.045780310250337915,0.03333602217607298,104.95993580661272,0.0030984499671753343,0.0030984499671753343,92040.45551248272,76046.29115525805,37.45869612481033,76046.29115525805,76046.29115525805,-148.8917365893663,-147.11395881158853,8,92040.45551248272,76046.29115525805
"(2, 0, 4)","(0, 0, 0, 0)",0.04144192215198483,0.03154486183916075,106.39976283115729,0.0036369301021395542,0.0036369301021395542,101952.80108080739,81922.55319080628,40.097349893039286,81922.55319080628,81922.55319080628,-155.50669032911668,-154.1408366705801,7,101952.80108080739,81922.55319080628
"(4, 1, 0)","(0, 0, 0, 0)",0.04238178566793754,0.03189562814348307,119.84610113910725,-0.008776760194705385,0.008776760194705385,103230.27356617624,82691.18159059878,40.352059495146634,-82147.75871113397,82147.75871113397,-107.2600565275882,-106.5457708133025,5,103230.27356617624,82147.75871113397
"(3, 0, 4)","(0, 0, 0, 0)",0.041452816549203915,0.031452165372232985,105.6609874444884,0.0036801350954365794,0.0036801350954365794,104309.73546819534,83736.91964084422,40.97468228561313,83736.91964084422,83736.91964084422,-153.69848160710006,-151.9207038293223,8,104309.73546819534,83736.91964084422
"(3, 1, 0)","(0, 0, 0, 0)",0.04244266283748601,0.032068867791100464,128.0505404203427,-0.011065627212318872,0.011065627212318872,115115.52505025771,94214.94374465225,46.17961067977692,-93733.35541623221,93733.35541623221,-109.89044545121838,-109.41985721592427,4,115115.52505025771,93733.35541623221
"(0, 0, 4)","(0, 0, 0, 0)",0.04146173488577316,0.031452461497057736,106.84191370991985,0.0038424644781675766,0.0038424644781675766,115646.93916128452,92628.643908164,45.300578106252324,92628.643908164,92628.643908164,-156.3932956023325,-155.67900988804678,5,115646.93916128452,92628.643908164
"(4, 1, 4)","(0, 0, 0, 0)",0.041342805186676414,0.030967275098202213,101.80740231864847,0.003643666908215296,0.003643666908215296,120841.53600253948,97996.47414186237,48.04141654597345,97996.47414186237,97996.47414186237,-146.56893037302152,-144.31893037302152,9,120841.53600253948,97996.47414186237
"(1, 0, 4)","(0, 0, 0, 0)",0.041954108424000346,0.03201796501659869,109.01993579458559,0.003985802052353635,0.003985802052353635,123521.89437083734,98233.24143740408,47.96835985286304,98233.24143740408,98233.24143740408,-155.1786667214577,-154.1666185286866,6,123521.89437083734,98233.24143740408
"(4, 1, 3)","(0, 0, 0, 0)",0.04582263850507646,0.03343218393976311,106.49612060716494,0.003907651161579679,0.003907651161579679,127115.88546191904,101886.35612935398,49.831777035420075,101886.35612935398,101886.35612935398,-145.23288091288856,-143.4551031351108,8,127115.88546191904,101886.35612935398
"(1, 0, 3)","(0, 0, 0, 0)",0.04185475139019177,0.031513727203598275,106.01166652664686,0.004143607520477392,0.004143607520477392,127201.0115793569,99422.81112179106,48.37262620875604,99422.81112179106,99422.81112179106,-154.80612057174176,-154.09183485745604,5,127201.0115793569,99422.81112179106
"(3, 0, 2)","(0, 0, 0, 0)",0.04137929101913911,0.03125525100945342,105.27770919168013,0.004079888643490954,0.004079888643490954,127279.21449624316,100624.1774645199,49.07166872708144,100624.1774645199,100624.1774645199,-158.01736016404016,-157.00531197126907,6,127279.21449624316,100624.1774645199
"(2, 0, 3)","(0, 0, 0, 0)",0.04160364058576174,0.031555505940322255,106.73107881621083,0.004131229331011583,0.004131229331011583,127637.4898541023,99956.4543325699,48.65094568798589,99956.4543325699,99956.4543325699,-153.511339303956,-152.4992911111849,6,127637.4898541023,99956.4543325699
"(3, 0, 3)","(0, 0, 0, 0)",0.04159238748182463,0.03177407212295935,108.1286966544989,0.004109591367095719,0.004109591367095719,128622.13458388623,101435.79181179928,49.442317880977335,101435.79181179928,101435.79181179928,-154.8376758983381,-153.4718222398015,7,128622.13458388623,101435.79181179928
"(4, 0, 3)","(0, 0, 0, 0)",0.041575241379169466,0.0317907473030495,108.31332040279061,0.004113453900226613,0.004113453900226613,128742.43591296623,101501.97366115563,49.471858283701806,101501.97366115563,101501.97366115563,-152.85597161379195,-151.07819383601418,8,128742.43591296623,101501.97366115563
"(4, 0, 1)","(0, 0, 0, 0)",0.04240437404244163,0.031634437178104706,105.92246571940768,0.004090808269993041,0.004090808269993041,128899.93509949422,101880.59852705941,49.68382692778487,101880.59852705941,101880.59852705941,-151.36999385648156,-150.35794566371047,6,128899.93509949422,101880.59852705941
"(3, 0, 1)","(0, 0, 0, 0)",0.04234781652908309,0.03134680090380361,104.12402220019239,0.004077281877244278,0.004077281877244278,129069.49735457126,102243.46466369777,49.883520540552134,102243.46466369777,102243.46466369777,-155.06621237712145,-154.35192666283572,5,129069.49735457126,102243.46466369777
"(0, 0, 1)","(0, 0, 0, 0)",0.0431707235777947,0.03173947933925397,106.21831288103778,0.004111622809283673,0.004111622809283673,131710.31896901067,104388.40758679091,50.94417177132641,104388.40758679091,104388.40758679091,-149.45006430324673,-149.31213326876397,2,131710.31896901067,104388.40758679091
"(0, 0, 3)","(0, 0, 0, 0)",0.04150992001788394,0.03093167789575043,104.42856839565783,0.004161807302003534,0.004161807302003534,131764.49142368705,103550.4539094541,50.44035842126331,103550.4539094541,103550.4539094541,-149.96094792099854,-149.49035968570442,4,131764.49142368705,103550.4539094541
"(4, 0, 4)","(0, 0, 0, 0)",0.046229140031043586,0.034530009325980014,114.86566304962678,0.004220617379056679,0.004220617379056679,132160.09735864538,104142.69705154782,50.75800501815713,104142.69705154782,104142.69705154782,-152.00844769007108,-149.75844769007108,9,132160.09735864538,104142.69705154782
"(2, 0, 1)","(0, 0, 0, 0)",0.04051420878117068,0.030656456368542723,104.91374397560608,0.00413210512402936,0.00413210512402936,132969.51309187614,105225.0430825434,51.32927109534572,105225.0430825434,105225.0430825434,-149.420174686647,-148.94958645135287,4,132969.51309187614,105225.0430825434
"(1, 0, 2)","(0, 0, 0, 0)",0.04133591195157417,0.030886088255251368,104.5983098152997,0.004158692013582844,0.004158692013582844,132990.15306253798,104813.8290014064,51.08638854747397,104813.8290014064,104813.8290014064,-152.57087359805885,-152.10028536276474,4,132990.15306253798,104813.8290014064
"(0, 0, 2)","(0, 0, 0, 0)",0.04132114996080726,0.03088323395206743,104.62226700852769,0.004158627055213099,0.004158627055213099,133158.7339601957,104981.13664310258,51.171432362709226,104981.13664310258,104981.13664310258,-154.54913845120862,-154.27006868376677,3,133158.7339601957,104981.13664310258
"(1, 0, 1)","(0, 0, 0, 0)",0.04197004654017349,0.031177404274970094,105.0944126585431,0.004169999869874802,0.004169999869874802,134213.22859390403,105840.3714978186,51.59391385330794,105840.3714978186,105840.3714978186,-149.40254034345494,-149.1234705760131,3,134213.22859390403,105840.3714978186
"(2, 0, 2)","(0, 0, 0, 0)",0.04640974804180318,0.03380442970271296,109.2418041205385,0.004256973278290224,0.004256973278290224,137835.012251658,108740.33858429831,53.0142626410688,108740.33858429831,108740.33858429831,-154.32049607934255,-153.60621036505682,5,137835.012251658,108740.33858429831
"(2, 1, 0)","(0, 0, 0, 0)",0.04709521592778375,0.035407409707766666,183.374984572875,-0.022389949154283818,0.022389949154283818,145469.22636643852,126195.3628284607,62.719103817217814,-125843.82621067601,125843.82621067601,-82.35172583084025,-82.0726560633984,3,145469.22636643852,125843.82621067601
"(1, 1, 0)","(0, 0, 0, 0)",0.052795666187089044,0.039980708207352125,235.53216185187452,-0.031593493918713474,0.031593493918713474,156244.04757806464,138939.33711699376,69.51974964441622,-138793.69825040572,138793.69825040572,-71.92948344406508,-71.79155240958232,2,156244.04757806464,138793.69825040572
"(0, 1, 0)","(0, 0, 0, 0)",0.06281794928276604,0.05187317486520492,341.95179895414327,-0.048063530762253434,0.048063530762253434,166047.99289516138,151547.0853979113,76.41870248522156,-151547.0853979113,151547.0853979113,-34.60655003361602,-34.56109548816147,1,166047.99289516138,151547.0853979113
