order,seasonal_order,rmse_val,mae_val,mape_val,mbe_val,abs_mbe_val,rmse_val_orig,mae_val_orig,mape_val_orig,mbe_val_orig,abs_mbe_val_orig,aic,aicc,k_params,rank_rmse_val,rank_abs_mbe_val
"(1, 0, 4)","(0, 0, 0, 0)",0.03412899351978369,0.027513181581156856,351.72487344504214,0.021654558807670612,0.021654558807670612,63127.23780788798,52492.92134212541,25.926588020169138,52492.92134212541,52492.92134212541,-163.1066586796677,-162.1066586796677,6,63127.23780788798,52492.92134212541
"(4, 0, 4)","(0, 0, 0, 0)",0.03391218701232486,0.026919036010933622,341.7439690306124,0.02119359542272516,0.02119359542272516,63737.779731520095,53705.45281266833,26.60885606597982,53705.45281266833,53705.45281266833,-161.7715242595387,-159.54930203731647,9,63737.779731520095,53705.45281266833
"(4, 0, 3)","(0, 0, 0, 0)",0.036261214005282635,0.02859447180836658,348.5598434050131,0.022442272114677846,0.022442272114677846,66921.49669258091,56290.79462512135,27.877144477775097,56290.79462512135,56290.79462512135,-163.63755799462496,-161.88146043364935,8,66921.49669258091,56290.79462512135
"(1, 0, 1)","(0, 0, 0, 0)",0.03591932568526743,0.029297034212100573,372.5237947537785,0.02339067267637291,0.02339067267637291,67181.96213972525,55280.769099235906,27.2414888044277,55280.769099235906,55280.769099235906,-152.82225240586007,-152.54639033689455,3,67181.96213972525,55280.769099235906
"(2, 0, 2)","(0, 0, 0, 0)",0.0387016300617044,0.03173853042383584,391.30190511159725,0.026000196072042785,0.026000196072042785,76188.52838507044,62730.458698836585,30.90383068818012,62730.458698836585,62730.458698836585,-155.62351637497787,-154.91763402203668,5,76188.52838507044,62730.458698836585
"(3, 1, 0)","(0, 0, 0, 0)",0.03975953294747325,0.03434896714006347,415.60323202903675,0.028572242187396173,0.028572242187396173,79739.66849631352,63050.884658940835,30.783434664187624,63050.884658940835,63050.884658940835,-150.8511182069448,-150.38600192787501,4,79739.66849631352,63050.884658940835
"(4, 1, 0)","(0, 0, 0, 0)",0.039894148068126,0.03449939166112462,416.9543182527212,0.02884496777349119,0.02884496777349119,80737.16332857261,63857.25446812837,31.177337902243707,63857.25446812837,63857.25446812837,-146.83533909006812,-146.12945673712693,5,80737.16332857261,63857.25446812837
"(2, 1, 4)","(0, 0, 0, 0)",0.04259614014721923,0.037750859033479175,452.62008366769464,0.03358242003325102,0.03358242003325102,100204.87404998466,80548.65643805123,39.42921438822507,80548.65643805123,80548.65643805123,-157.11330952659432,-155.7639119362329,7,100204.87404998466,80548.65643805123
"(3, 1, 4)","(0, 0, 0, 0)",0.043938227514302375,0.03942302733561279,466.9830323703222,0.035261754406708624,0.035261754406708624,106580.33401546147,85506.4033233506,41.832900090959726,85506.4033233506,85506.4033233506,-155.82297216763192,-154.0668746066563,8,106580.33401546147,85506.4033233506
"(4, 1, 4)","(0, 0, 0, 0)",0.044174214470861145,0.039747689253750884,470.1073958508105,0.03558009514303134,0.03558009514303134,107816.40419104189,86469.30655982152,42.29940636326866,86469.30655982152,86469.30655982152,-153.9258184414894,-151.70359621926718,9,107816.40419104189,86469.30655982152
